claim,passes,n_tested,n_violations,status,info
E1 : v_2(pi) = v_2(p+1) + 1  on DI,True,312,0,PASS,
E2 : pi = 4 alpha AND alpha odd  on Z \ DI,True,232,0,PASS,
E3 : pi = alpha  on cm_only,True,307,0,PASS,
E4 : alpha | (p+1)  for inert primes,True,618,0,PASS,
E5 : alpha | (p-1)  for split primes,True,609,0,PASS,
E6 : chi_p(-1) = -1  ==>  k is odd,True,619,0,PASS,
E7 : chi_p(-1) = +1  ==>  k is even,True,608,0,PASS,
"E8 : paper S(p)=T_alpha is +1 if p==1 mod 5, -1 if p==4 mod 5  [MAIN THEOREM]",True,216,0,PASS,
E9 : |S_p| is odd  on cm_only with k=3,True,42,0,PASS,
E10: 8 | S_p  on fib_only with k=2,True,239,0,PASS,
